Loaded model ae_model_39.pth from logs/ae_20230801-025325
Training for dosage 1
Number of images: 1878
Training Model
Epoch 1/50, Train Loss: 0.0761, Validation Loss: 0.0464
Epoch 2/50, Train Loss: 0.0345, Validation Loss: 0.0375
Epoch 3/50, Train Loss: 0.0289, Validation Loss: 0.0312
Epoch 4/50, Train Loss: 0.0263, Validation Loss: 0.0295
Epoch 5/50, Train Loss: 0.0248, Validation Loss: 0.0281
Epoch 6/50, Train Loss: 0.0237, Validation Loss: 0.0252
Epoch 7/50, Train Loss: 0.0230, Validation Loss: 0.0274
Epoch 8/50, Train Loss: 0.0224, Validation Loss: 0.0278
Epoch 9/50, Train Loss: 0.0220, Validation Loss: 0.0274
Epoch 10/50, Train Loss: 0.0217, Validation Loss: 0.0261
Epoch 11/50, Train Loss: 0.0216, Validation Loss: 0.0264
Epoch 12/50, Train Loss: 0.0211, Validation Loss: 0.0265
Epoch 13/50, Train Loss: 0.0208, Validation Loss: 0.0310
Epoch 14/50, Train Loss: 0.0209, Validation Loss: 0.0306
Epoch 15/50, Train Loss: 0.0208, Validation Loss: 0.0273
Epoch 16/50, Train Loss: 0.0204, Validation Loss: 0.0277
Epoch 17/50, Train Loss: 0.0201, Validation Loss: 0.0239
Epoch 18/50, Train Loss: 0.0201, Validation Loss: 0.0220
Epoch 19/50, Train Loss: 0.0200, Validation Loss: 0.0220
Epoch 20/50, Train Loss: 0.0197, Validation Loss: 0.0231
Epoch 21/50, Train Loss: 0.0195, Validation Loss: 0.0212
Epoch 22/50, Train Loss: 0.0197, Validation Loss: 0.0249
Epoch 23/50, Train Loss: 0.0195, Validation Loss: 0.0258
Epoch 24/50, Train Loss: 0.0195, Validation Loss: 0.0247
Epoch 25/50, Train Loss: 0.0193, Validation Loss: 0.0233
Epoch 26/50, Train Loss: 0.0192, Validation Loss: 0.0278
Epoch 27/50, Train Loss: 0.0190, Validation Loss: 0.0230
Epoch 28/50, Train Loss: 0.0190, Validation Loss: 0.0225
Epoch 29/50, Train Loss: 0.0188, Validation Loss: 0.0238
Epoch 30/50, Train Loss: 0.0188, Validation Loss: 0.0226
Epoch 31/50, Train Loss: 0.0191, Validation Loss: 0.0212
Epoch 32/50, Train Loss: 0.0186, Validation Loss: 0.0207
Epoch 33/50, Train Loss: 0.0184, Validation Loss: 0.0271
Epoch 34/50, Train Loss: 0.0184, Validation Loss: 0.0233
Epoch 35/50, Train Loss: 0.0185, Validation Loss: 0.0258
Epoch 36/50, Train Loss: 0.0184, Validation Loss: 0.0260
Epoch 37/50, Train Loss: 0.0181, Validation Loss: 0.0229
Epoch 38/50, Train Loss: 0.0183, Validation Loss: 0.0268
Epoch 39/50, Train Loss: 0.0182, Validation Loss: 0.0242
Epoch 40/50, Train Loss: 0.0181, Validation Loss: 0.0228
Epoch 41/50, Train Loss: 0.0179, Validation Loss: 0.0224
Epoch 42/50, Train Loss: 0.0183, Validation Loss: 0.0230
Epoch 43/50, Train Loss: 0.0181, Validation Loss: 0.0228
Epoch 44/50, Train Loss: 0.0180, Validation Loss: 0.0229
Epoch 45/50, Train Loss: 0.0179, Validation Loss: 0.0212
Epoch 46/50, Train Loss: 0.0177, Validation Loss: 0.0215
Epoch 47/50, Train Loss: 0.0180, Validation Loss: 0.0222
Epoch 48/50, Train Loss: 0.0178, Validation Loss: 0.0251
Epoch 49/50, Train Loss: 0.0178, Validation Loss: 0.0221
Epoch 50/50, Train Loss: 0.0178, Validation Loss: 0.0230
Test Loss: 0.0219
Best Test Loss: 0.0197
